Company/Brand,Sector,Amount($),HeadQuarter,Year,Investor
Wooden Street,E-Commerce,1000000.0,Jaipur,2018,Unknown
The Ken,Digital Media,1500000.0,Bengaluru,2018,Unknown
SaffronStays,Unknown,2000000.0,Mumbai,2018,Unknown
Vebbler,File Sharing,3000000.0,Bengaluru,2018,Unknown
Foyr,Home Decor,4200000.0,Pune,2018,Unknown
MEngage,Health Care,175000.0,Jaipur,2018,Unknown
Inner Being Wellness,Unknown,511611.0,Hyderabad,2018,Unknown
Kobster,E-Commerce,3000000.0,Chennai,2018,Unknown
Wishberry,Crowdfunding,1461747.0,Mumbai,2018,Unknown
McXtra,Finance,1300000.0,Andheri,2018,Unknown
Magic Crate,Children,3000000.0,Bengaluru,2018,Unknown
SmartVizX,Software,1450000.0,Noida,2018,Unknown
MySEODoc,Unknown,3000000.0,Delhi,2018,Unknown
ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,Unknown,2923.0,Pune,2018,Unknown
Scale Labs,Unknown,1000000.0,Delhi,2018,Unknown
HungerBox,B2B,4500000.0,Bengaluru,2018,Unknown
Biryani By Kilo,Catering,1000000.0,Noida,2018,Unknown
Wholesome Habits (EAT Anytime),Food & Beverages,500000.0,Mumbai,2018,Unknown
GoBumpr,Automotive,600000.0,Mylapore,2018,Unknown
Fixpocket,Computer,250000.0,Ahmedabad,2018,Unknown
edureka!,Android,2000000.0,Bengaluru,2018,Unknown
Hashtag Loyalty Private Limited,Analytics,3000000.0,Mumbai,2018,Unknown
Wow Express,Delivery,4500000.0,Mumbai,2018,Unknown
ZunRoof,Environmental Consulting,242650.0,Gurugram,2018,Unknown
Eggoz,Food & Beverages,175410.0,Indore,2018,Unknown
Sqrrl Fintech,Big Data,1000000.0,Gurugram,2018,Unknown
GalaxyCard,Finance,3000000.0,Noida,2018,Unknown
IndiQube,Commercial Real Estate,15000000.0,Bengaluru,2018,Unknown
EGK Foods,Food & Beverages,292349.0,Mumbai,2018,Unknown
NirogStreet,Apps,300000.0,Gurugram,2018,Unknown
Pixr8,Digital Media,50000.0,Ghaziabad,2018,Unknown
Nivesh,Finance,438524.0,Noida,2018,Unknown
Theranosis Life Sciences,BioTech,3000000.0,Hyderabad,2018,Unknown
Poshmiles Online Solutions Private Limited,Travel,3000000.0,Bengaluru,2018,Unknown
Reculta,Education,3000000.0,Noida,2018,Unknown
Orbo,Internet,3000000.0,Mumbai,2018,Unknown
Inntot Technologies,Consumer Electronics,3000000.0,Kochi,2018,Unknown
Zoctr Health,Apps,3000000.0,Powai,2018,Unknown
Hey Deedee,Delivery Service,482376.0,Mumbai,2018,Unknown
DigiConnectt Technologys,Information Services,125000.0,Bengaluru,2018,Unknown
Locus,Big Data,4000000.0,Bengaluru,2018,Unknown
Sports Flashes Pvt,Basketball,1000000.0,New Delhi,2018,Unknown
Inc42,Media and Entertainment,3000000.0,New Delhi,2018,Unknown
Picxy,Internet,130000.0,Guntur,2018,Unknown
Huddle,Consulting,300000.0,Haryana,2018,Unknown
Benepik,Human Resources,3000000.0,Gurugram,2018,Unknown
Cash Suvidha,Finance,1000000.0,New Delhi,2018,Unknown
Smartcoin,Big Data,2000000.0,Bengaluru,2018,Unknown
Carmel Organics,Agriculture,3000000.0,Indore,2018,Unknown
Roadcast,Unknown,250000.0,New Delhi,2018,Unknown
Printline Media(ThePrint),Digital Media,510150.0,New Delhi,2018,Unknown
Creditas Solutions,Financial Services,3000000.0,Gurugram,2018,Unknown
UrbanPiper,Software,3000000.0,Bengaluru,2018,Unknown
Doxper,Health Care,1052458.0,Mumbai,2018,Unknown
i2ifunding,Crowdfunding,730873.0,Noida,2018,Unknown
ShakeDeal,B2B,3000000.0,Bengaluru,2018,Unknown
HelloVerify,Fraud Detection,3000000.0,Noida,2018,Unknown
Fasal,Agriculture,120000.0,Bengaluru,2018,Unknown
CoinGeto,Cryptocurrency,1754096.0,Delhi,2018,Unknown
Avail Finance,Finance,17200000.0,Bengaluru,2018,Unknown
Tripeur,Information Technology,600000.0,Bengaluru,2018,Unknown
Wedeterna,Wedding,3000000.0,Bengaluru,2018,Unknown
Stumagz,Digital Media,3000000.0,Hyderabad,2018,Unknown
Doubtnut,E-Learning,511611.0,Gurugram,2018,Unknown
MCaffeine,Consumer Goods,467759.0,Mumbai,2018,Unknown
TrustCheckr,Information Technology,100000.0,Bengaluru,2018,Unknown
HealthAssure,Fitness,1000000.0,Mumbai,2018,Unknown
Picture TIme,Digital Entertainment,3654367.0,New Delhi,2018,Unknown
1Crowd,Crowdsourcing,3500000.0,Mumbai,2018,Unknown
Aarav Unmanned Systems,Delivery,3000000.0,Bengaluru,2018,Unknown
Wellthy Therapeutics Pvt Ltd,Health Care,1973358.0,Mumbai,2018,Unknown
Nua,Consumer Goods,3000000.0,Mumbai,2018,Unknown
Kuvera,Financial Services,250000.0,Bengaluru,2018,Unknown
Livehealth,Health Care,1100000.0,Pune,2018,Unknown
Gramophone,Farming,1000000.0,Indore,2018,Unknown
Ora,Business Travel,3000000.0,Kolkata,2018,Unknown
Buddy4Study,Career Planning,3000000.0,Noida,2018,Unknown
Predible Health,Medical Device,3000000.0,Bengaluru,2018,Unknown
Syncremedies Healthcare Pvt Ltd,Alternative Medicine,3000000.0,Bengaluru,2018,Unknown
Blueleaf Cyberspace Systems,Internet,3000000.0,Bengaluru,2018,Unknown
Toffee,Unknown,1500000.0,Gurugram,2018,Unknown
ORO Wealth,Unknown,1600000.0,Mumbai,2018,Unknown
HealWell24,Dental,200000.0,Mumbai,2018,Unknown
Acko General Insurance,Financial Services,12000000.0,Mumbai,2018,Unknown
arzooo,Consumer Electronics,219262.0,Bengaluru,2018,Unknown
Bonphul Air Products,CleanTech,292349.0,Delhi,2018,Unknown
DheeYantra Research Labs,AI,3000000.0,Bengaluru,2018,Unknown
Edyoo,Education,1000000.0,Bengaluru,2018,Unknown
Chtrbox,Advertising,146175.0,Mumbai,2018,Unknown
Aashiyaan Housing and Development Finance,Financial Services,1973358.0,Kolkata,2018,Unknown
BetterPlace Safety Solutions Pvt,Human Resources,3000000.0,Bangalore City,2018,Unknown
Cashkumar,Consumer Lending,730873.0,Bengaluru,2018,Unknown
Rocketium,Marketing,292349.0,Bengaluru,2018,Unknown
FreightBazaar,Transportation,3000000.0,Hyderabad,2018,Unknown
OPEN,Banking,3000000.0,Bengaluru,2018,Unknown
mfine,Health Care,4200000.0,Bengaluru,2018,Unknown
Earth Food,Food & Beverages,935518.0,Pune,2018,Unknown
Charcoal Eats,Food Processing,730873.0,Mumbai,2018,Unknown
Wishfie,Apps,3000000.0,Bengaluru,2018,Unknown
The Social Hook,Marketing,3000000.0,Bengaluru,2018,Unknown
FreightBro,Apps,3000000.0,Mumbai,2018,Unknown
Finwego,Unknown,3000000.0,Chennai,2018,Unknown
Cricnwin,Digital Entertainment,3000000.0,Gurugram,2018,Unknown
Wicked Ride Adventure Services Private Limited,Automotive,10000000.0,Bengaluru,2018,Unknown
Career Anna,Commercial,584699.0,Bengaluru,2018,Unknown
ERUDITUS Executive Education,Continuing Education,40000000.0,Mumbai,2018,Unknown
Gaia Smart Cities,Smart Cities,3000000.0,Mumbai,2018,Unknown
Square Off,IOT,1100000.0,Mumbai,2018,Unknown
UrbanClap,Apps,50000000.0,Delhi,2018,Unknown
Hospals,Medical,1500000.0,New Delhi,2018,Unknown
Kogta Financial India Limited,Financial Services,22510901.0,Jaipur,2018,Unknown
Perspectico,Career Planning,3000000.0,New Delhi,2018,Unknown
The Souled Store,Fashion,3000000.0,Mumbai,2018,Unknown
Hush - Speak Up,Communities,657786.0,Bengaluru,2018,Unknown
Drivezy,Automotive,100000000.0,Bengaluru,2018,Unknown
Freyr Energy,Energy,1500000.0,Hyderabad,2018,Unknown
NIRAMAI Health Analytix,Health Care,6000000.0,Bengaluru,2018,Unknown
CloudSek,Information Technology,2046446.0,Bengaluru,2018,Unknown
Lendbox,Crowdfunding,877048.0,Delhi,2018,Unknown
Verloop,Customer Service,3000000.0,Bengaluru,2018,Unknown
Flickstree,Advertising,3000000.0,Mumbai,2018,Unknown
Paymatrix,Credit Cards,100000.0,Hyderabad,2018,Unknown
Idha Skin Clinic,Beauty,73087.0,Bangalore City,2018,Unknown
InCred,Banking,41900000.0,Mumbai,2018,Unknown
Vedantu,EdTech,11000000.0,Bengaluru,2018,Unknown
Sportido,Social Media,3000000.0,Noida,2018,Unknown
Stelis Biopharma,Biopharma,100000000.0,Bengaluru,2018,Unknown
Magicpin,E-Commerce,20610630.0,Gurugram,2018,Unknown
Try & Buy,E-Commerce,3000000.0,New Delhi,2018,Unknown
Mech Mocha,Digital Entertainment,3530000.0,Bengaluru,2018,Unknown
Aye Finance,Finance,1052458.0,Gurugram,2018,Unknown
Aldopay,Mobile Payments,200000.0,Chennai,2018,Unknown
Detect Technologies,AI,3300000.0,Chennai,2018,Unknown
Signzy,Computer,3508192.0,Bengaluru,2018,Unknown
CashRich,Apps,1000000.0,Mumbai,2018,Unknown
Cloudnine Hospitals,Child Care,3000000.0,Bengaluru,2018,Unknown
CropIn Technologies,Agriculture,8478132.0,Bengaluru,2018,Unknown
Billdesk,Finance,3000000.0,Ahmedabad,2018,Unknown
Yaantra,Information Services,2000000.0,Delhi,2018,Unknown
TECHBOOZE,Education,100000.0,New Delhi,2018,Unknown
HealthifyMe,Apps,6000000.0,Bengaluru,2018,Unknown
hoi foods,Food & Beverages,526229.0,Gurugram,2018,Unknown
Perpule,Apps,4969939.0,Bengaluru,2018,Unknown
Royal Sundaram General Insurance Co,Health Insurance,210000000.0,Kalpakkam,2018,Unknown
CleanseCar,Automotive,511611.0,Bengaluru,2018,Unknown
DRIVEU,Rental,1023223.0,Bengaluru,2018,Unknown
Spinny,E-Commerce,11000000.0,Gurugram,2018,Unknown
Asset Reconstruction Company (India) Ltd,Financial Services,3000000.0,Mumbai,2018,Unknown
Med365 Healthcare,Health Diagnostics,730873.0,Jaipur,2018,Unknown
Dunzo,Customer Service,1023223.0,Bengaluru,2018,Unknown
Mobile Premier League (MPL),Gaming,5000000.0,Bengaluru,2018,Unknown
WalMart India,Retail,37680000.0,Gurugram,2018,Unknown
Cred,Unknown,3000000.0,Bengaluru,2018,Unknown
Meesho,E-Commerce,50000000.0,Bengaluru,2018,Unknown
BhaskarGuru,Search Engine,1000000.0,Bhopal,2018,Unknown
Gugu,Battery,250000.0,Coimbatore,2018,Unknown
FarmTaaza,Agriculture,3000000.0,Bengaluru,2018,Unknown
Vizzbee,AI,20000.0,Bhopal,2018,Unknown
BIGPHI TECHNOLOGIES PVT,Fashion,900000.0,Bengaluru,2018,Unknown
Mobycy,Fitness,3000000.0,Gurugram,2018,Unknown
Traveo Soft Pvt,Mobile,17541.0,Bengaluru,2018,Unknown
Em Personal Care,Cosmetics,3000000.0,Worli,2018,Unknown
Lucideus,Consulting,5000000.0,New Delhi,2018,Unknown
Eupheus Learning,E-Learning,3000000.0,Delhi,2018,Unknown
GamingMonk,eSports,584699.0,New Delhi,2018,Unknown
Sukkhi Jewellery,Fashion,7454909.0,Mumbai,2018,Unknown
INDwealth,Financial Services,32158430.0,Gurugram,2018,Unknown
Medikabazaar,B2B,5000000.0,Mumbai,2018,Unknown
NIRA,Credit,1000000.0,Bengaluru,2018,Unknown
Duroflex Pvt,Consumer Goods,22000000.0,Alleppey,2018,Unknown
Clensta,BioTech,3000000.0,New Delhi,2018,Unknown
Jetbrain Robotics,Health Care,70000.0,Gurugram,2018,Unknown
Medimetry,Health Care,3000000.0,Haryana,2018,Unknown
Healthkart,E-Commerce,10000000.0,Gurugram,2018,Unknown
Indiabulls Ventures,Financial Services,224992070.0,Mumbai,2018,Unknown
Vistara,Aerospace,292349363.0,Haryana,2018,Unknown
